Date,Open,High,Low,Close,Adj Close,Volume
Jan 09 2023,3910.82,3950.57,3890.42,3892.09,3892.09,4311770000
Jan 06 2023,3823.37,3906.19,3809.56,3895.08,3895.08,3923560000
Jan 05 2023,3839.74,3839.74,3802.42,3808.10,3808.10,3893450000
Jan 04 2023,3840.36,3873.16,3815.77,3852.97,3852.97,4414080000
Jan 03 2023,3853.29,3878.46,3794.33,3824.14,3824.14,3959140000
Dec 30 2022,3829.06,3839.85,3800.34,3839.50,3839.50,2979870000
Dec 29 2022,3805.45,3858.19,3805.45,3849.28,3849.28,3003680000
Dec 28 2022,3829.56,3848.32,3780.78,3783.22,3783.22,3083520000
Dec 27 2022,3843.34,3846.65,3813.22,3829.25,3829.25,3030300000
Dec 23 2022,3815.11,3845.80,3797.01,3844.82,3844.82,2819280000
Dec 22 2022,3853.26,3853.26,3764.49,3822.39,3822.39,3956950000
Dec 21 2022,3839.49,3889.82,3839.49,3878.44,3878.44,3775200000
Dec 20 2022,3810.47,3838.24,3795.62,3821.62,3821.62,3985370000
Dec 19 2022,3853.79,3854.86,3800.04,3817.66,3817.66,3969610000
Dec 16 2022,3890.91,3890.91,3827.91,3852.36,3852.36,7493660000
Dec 15 2022,3958.37,3958.37,3879.45,3895.75,3895.75,4493900000
Dec 14 2022,4015.54,4053.76,3965.65,3995.32,3995.32,4472340000
Dec 13 2022,4069.38,4100.96,3993.03,4019.65,4019.65,5079360000
Dec 12 2022,3939.29,3990.71,3935.30,3990.56,3990.56,3904130000
Dec 09 2022,3954.17,3977.02,3933.04,3934.38,3934.38,3888260000
Dec 08 2022,3947.79,3974.19,3935.83,3963.51,3963.51,4006900000
Dec 07 2022,3933.28,3957.57,3922.68,3933.92,3933.92,4118050000
Dec 06 2022,3996.63,4001.51,3918.39,3941.26,3941.26,4368380000
Dec 05 2022,4052.02,4052.45,3984.49,3998.84,3998.84,4280820000
Dec 02 2022,4040.17,4080.48,4026.63,4071.70,4071.70,4012620000
Dec 01 2022,4087.14,4100.51,4050.87,4076.57,4076.57,4527130000
Nov 30 2022,3957.18,4080.11,3938.58,4080.11,4080.11,6579360000
Nov 29 2022,3964.19,3976.77,3937.65,3957.63,3957.63,3546040000
Nov 28 2022,4005.36,4012.27,3955.77,3963.94,3963.94,3615430000
Nov 25 2022,4023.34,4034.02,4020.76,4026.12,4026.12,1706460000
Nov 23 2022,4000.30,4033.78,3998.66,4027.26,4027.26,3279720000
Nov 22 2022,3965.51,4005.88,3956.88,4003.58,4003.58,3887990000
Nov 21 2022,3956.23,3962.00,3933.34,3949.94,3949.94,3850690000
Nov 18 2022,3966.39,3979.89,3935.98,3965.34,3965.34,4037360000
